Wonder Woman 1984 (2020) ,25 December 2020 (USA),5.5,Rewind to the 1980s as Wonder Woman's next big screen adventure finds her facing two all-new foes: Max Lord and The Cheetah.
Soul (2020) ,25 December 2020 (USA),8.2,A musician who has lost his passion for music is transported out of his body and must find his way back with the help of an infant soul learning about herself.
The Midnight Sky (2020) ,23 December 2020 (USA),5.6,"This post-apocalyptic tale follows Augustine, a lonely scientist in the Arctic, as he races to stop Sully and her fellow astronauts from returning home to a mysterious global catastrophe."
We Can Be Heroes (2020) ,25 December 2020 (USA),4.8,"When alien invaders kidnap Earth's superheroes, their children must team up and learn to work together if they want to save their parents and the world."
Tenet (2020) ,3 September 2020 (USA),7.6,"Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time."
Shadow in the Cloud (2020) ,1 January 2021 (USA),4.6,A female WWII pilot traveling with top secret documents on a B-17 Flying Fortress encounters an evil presence on board the flight.
Wonder Woman (2017) ,2 June 2017 (USA),7.4,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny."
Promising Young Woman (2020) ,25 December 2020 (USA),7.4,"A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who cross her path."
Mulan (2020) ,4 September 2020 (USA),5.6,A young Chinese maiden disguises herself as a male warrior in order to save her father.
Love Actually (2003) ,14 November 2003 (USA),7.6,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England."
Coolie No. 1 (2020) ,24 December 2020 (USA),3.7,"After being insulted by a rich businessman named Rosario, pandit Jai Kishen teaches him a lesson by getting his daughter married to Raju - a Coolie posing as a millionaire. Soon Raju's real...
                    See full summary »"
After We Collided (2020) ,23 October 2020 (USA),5.0,"Based on the 2014 romance novel of the same name, this follows the love life of two young adults."
Another Round (2020) ,18 December 2020 (USA),7.9,"Four friends, all high school teachers, test a theory that they will improve their lives by maintaining a constant level of alcohol in their blood."
The Croods: A New Age (2020) ,25 November 2020 (USA),7.0,"The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved."
Ma Rainey's Black Bottom (2020) ,18 December 2020 (USA),7.2,"Chicago, 1927. A recording session. Tensions rise between Ma Rainey, her ambitious horn player and the white management determined to control the uncontrollable ""Mother of the Blues"". Based on Pulitzer Prize winner August Wilson's play."
The Godfather (1972) ,24 March 1972 (USA),9.2,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
Greenland (2020) ,18 December 2020 (USA),6.4,A family struggles for survival in the face of a cataclysmic natural disaster.
The Prom (2020) ,11 December 2020 (USA),6.1,A troupe of hilariously self-obsessed theater stars swarm into a small conservative Indiana town in support of a high school girl who wants to take her girlfriend to the prom.
The Gentlemen (2019) ,24 January 2020 (USA),7.8,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
Ava (2020) ,25 September 2020 (USA),5.4,"Ava is a deadly assassin who works for a black ops organization, traveling the globe specializing in high profile hits. When a job goes dangerously wrong she is forced to fight for her own survival."
Sylvie's Love (2020) ,23 December 2020 (USA),6.7,"When a young woman meets an aspiring saxophonist in her father's record shop in 1950s Harlem, their love ignites a sweeping romance that transcends changing times, geography, and professional success."
Home Alone (1990) ,16 November 1990 (USA),7.6,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.
National Lampoon's Christmas Vacation (1989) ,1 December 1989 (USA),7.6,The Griswold family's plans for a big family Christmas predictably turn into a big disaster.
News of the World (2020) ,25 December 2020 (USA),7.2,"A Civil War veteran agrees to deliver a girl, taken by the Kiowa people years ago, to her aunt and uncle, against her will. They travel hundreds of miles and face grave dangers as they search for a place that either can call home."
Knives Out (2019) ,27 November 2019 (USA),7.9,"A detective investigates the death of a patriarch of an eccentric, combative family."
The Sound of Music (1965) ,1 April 1965 (USA),8.0,A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.
Monster Hunter (2020) ,18 December 2020 (USA),5.3,"When Lt. Artemis and her loyal soldiers are transported to a new world, they engage in a desperate battle for survival against enormous enemies with incredible powers. Feature film based on the video game by Capcom."
1917 (2019) ,10 January 2020 (USA),8.3,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
Die Hard (1988) ,20 July 1988 (USA),8.2,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
Mank (2020) ,4 December 2020 (USA),7.1,1930's Hollywood is reevaluated through the eyes of scathing social critic and alcoholic screenwriter Herman J. Mankiewicz as he races to finish the screenplay of Citizen Kane (1941).
Cats (2019) ,20 December 2019 (USA),2.8,A tribe of cats called the Jellicles must decide yearly which one will ascend to the Heaviside Layer and come back to a new Jellicle life.
Harry Potter and the Sorcerer's Stone (2001) ,16 November 2001 (USA),7.6,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
Parasite (2019) ,8 November 2019 (USA),8.6,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
Grease (1978) ,16 June 1978 (USA),7.2,"Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?"
Sound of Metal (2019) ,4 December 2020 (USA),7.8,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.
It's a Wonderful Life (1946) ,7 January 1947 (USA),8.6,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
Coming 2 America (2021) ,5 March 2021 (USA),,The African monarch Akeem learns he has a long-lost son in the United States and must return to America to meet this unexpected heir and build a relationship with his son.
The Karate Kid (1984) ,22 June 1984 (USA),7.3,A martial arts master agrees to teach karate to a bullied teenager.
The Lord of the Rings: The Fellowship of the Ring (2001) ,19 December 2001 (USA),8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Nomadland (2020) ,19 February 2021 (USA),7.8,"After losing everything in the Great Recession, a woman embarks on a journey through the American West, living as a van-dwelling modern-day nomad."
New Year's Eve (2011) ,9 December 2011 (USA),5.7,The lives of several couples and singles in New York City intertwine over the course of New Year's Eve.
AK vs AK (2020) ,24 December 2020 (USA),7.2,"A filmmaker kidnaps the daughter of a movie star, and while the star searches for his daughter the director films the desperate search in real time for his next blockbuster movie."
Klaus (2019) ,15 November 2019 (USA),8.2,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
Honest Thief (2020) ,16 October 2020 (USA),6.0,"Wanting to lead an honest life, a notorious bank robber turns himself in, only to be double-crossed by two ruthless FBI agents."
Once Upon a Time... In Hollywood (2019) ,26 July 2019 (USA),7.6,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.
The Greatest Showman (2017) ,20 December 2017 (USA),7.6,Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.
Beauty and the Beast (2017) ,17 March 2017 (USA),7.1,"A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner."
365 Days (2020) ,7 June 2020 (USA),3.3,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him."
